timestamp,yaw,pitch,roll,pressure,altitude,frameId,sensorTime
23:31:52,-0.0,0.035,0.434,97929.266,286.633,1,22:31:30
23:31:52,-0.007,0.021,0.413,97929.266,286.633,2,22:31:30
23:31:52,-0.014,-0.021,0.413,97929.266,286.633,3,22:31:30
23:31:52,-0.035,0.014,0.42,97929.25,286.635,17,22:31:30
23:31:52,-0.042,0.014,0.406,97929.25,286.635,18,22:31:30
23:31:52,-0.042,-0.014,0.399,97929.25,286.635,19,22:31:30
23:31:52,-0.035,0.007,0.42,97929.25,286.635,20,22:31:30
23:31:52,-0.042,0.014,0.42,97929.25,286.635,21,22:31:30
23:31:52,-0.049,0.0,0.42,97929.25,286.635,22,22:31:30
23:31:52,-0.049,0.0,0.413,97929.25,286.635,23,22:31:30
23:31:52,-0.049,0.007,0.406,97929.25,286.635,24,22:31:30
23:31:52,-0.049,-0.007,0.399,97929.25,286.635,25,22:31:30
23:31:52,-0.049,-0.014,0.42,97929.25,286.635,26,22:31:30
23:31:52,-0.049,0.014,0.427,97929.25,286.635,27,22:31:30
23:31:52,-0.049,0.021,0.42,97929.25,286.635,28,22:31:30
23:31:52,-0.063,0.0,0.406,97929.25,286.635,29,22:31:30
23:31:52,-0.063,-0.014,0.406,97929.25,286.635,30,22:31:30
23:31:52,-0.056,0.007,0.413,97929.25,286.635,31,22:31:30
23:31:52,-0.056,0.014,0.42,97929.25,286.635,32,22:31:30
23:31:52,-0.056,0.0,0.42,97929.25,286.635,33,22:31:30
23:31:52,-0.063,0.007,0.427,97929.25,286.635,34,22:31:30
23:31:52,-0.063,0.021,0.413,97929.25,286.635,35,22:31:30
23:31:52,-0.07,0.0,0.399,97929.25,286.635,36,22:31:30
23:31:52,-0.07,-0.014,0.406,97929.25,286.635,37,22:31:31
23:31:52,-0.063,0.007,0.42,97929.25,286.635,38,22:31:31
23:31:52,-0.063,0.021,0.42,97929.25,286.635,39,22:31:31
23:31:52,-0.07,0.0,0.413,97929.25,286.635,40,22:31:31
23:31:52,-0.077,-0.014,0.406,97929.25,286.635,41,22:31:31
23:31:52,-0.07,0.007,0.406,97929.25,286.635,42,22:31:31
23:31:53,-0.07,0.007,0.406,97929.25,286.635,43,22:31:31
23:31:53,-0.07,-0.014,0.413,97929.25,286.635,44,22:31:31
23:31:53,-0.07,-0.007,0.42,97929.25,286.635,45,22:31:31
23:31:53,-0.077,0.007,0.406,97929.25,286.635,46,22:31:31
23:31:53,-0.084,-0.014,0.399,97929.25,286.635,47,22:31:31
23:31:53,-0.084,-0.007,0.406,97929.25,286.635,48,22:31:31
23:31:53,-0.077,0.007,0.406,97929.25,286.635,49,22:31:31
23:31:53,-0.084,0.0,0.406,97929.25,286.635,50,22:31:31
23:31:53,-0.084,-0.007,0.406,97929.25,286.635,51,22:31:31
23:31:53,-0.091,0.007,0.406,97929.25,286.635,52,22:31:31
23:31:53,-0.091,0.007,0.392,97929.25,286.635,53,22:31:31
23:31:53,-0.091,-0.014,0.392,97929.25,286.635,54,22:31:31
23:31:53,-0.091,-0.014,0.406,97929.25,286.635,55,22:31:31
23:31:53,-0.084,0.007,0.406,97929.25,286.635,56,22:31:31
23:31:53,-0.091,0.007,0.399,97929.25,286.635,57,22:31:31
